PURPOSE Field,PURPOSE FIELD DIRECTOR ,NumberOfDups
SENIOR POLICY COORDINATOR,SENIOR POLICY COORDINATOR  ,2
SENIOR PROF STAFF MEMBER,SENIOR PROFESSIONAL STAFF MEMBER  ,2
SENIOR PROFESSIONAL STAFF (OTHER COMPENSATION),SENIOR PROFESSIONAL STAFF MEMBER ,2
SENIOR PROGRAM ANALYST,SENIOR PROGRAM ANALYST  ,2
SENIOR REFUND COUNSEL,SENIOR REFUND COUNSEL  ,2
SENIOR REPUBLICAN COUNSEL,SENIOR REPUBLICAN COUNSEL  ,2
SENIOR SOCIAL SECURITY ADVISOR,SENIOR SOCIAL SECURITY ADVISOR  ,2
SENIOR STAFF ASST AND HR SPEC,SENIOR STAFF ASSISTANT AND HUMAN RESOURCES SPECIALIST  ,2
SENIOR STAFF ASST AND HR SPEC (OVERTIME),SENIOR STAFF ASSISTANT AND HUMAN RESOURCES SPECIALIST   ,2
SENIOR SYSTEMS ADMINISTRATOR,SENIOR SYSTEMS ADMINISTRATOR  ,2
SENIOR TECHNICAL ADVISOR,SENIOR TECHNICAL ADVISOR  ,2
SERGEANT AT ARMS,SERGEANT AT ARMS  ,2
"SHARED STAFF,SC ON T& I","SHARED STAFF,SUBCOMMITTEE ON TRANSPORTATION AND  INFRASTRUCTURE  ",2
SHARED STAFF-FULL COMMITTEE,SHARED STAFF-FULL COMMITTEE  ,2
SHARED STAFF-SC ON I&0 AND DESIGNE,SHARED STAFF-SUBCOMMITTEE ON INVESTIGATION AND OVERSIGHT/DESIGNE  ,2
SHARED STF AND SC ON RESRCH-SCI ED,SHAREDSTAFF/SUBCOMMITTEE ON RESEARCH -SCIENCE EDUCATION  ,2
SHIFT SUPERVISOR,SHIFT SUPERVISOR  ,2
SOCIAL WORK COORDINATOR,SOCIAL WORK COORDINATOR  ,2
SOCIAL WORKER,SOCIAL WORKER  ,2
SOFTWARE ENGINEER I,SOFTWARE ENGINEER I  ,2
SOUTH END OFFICE COORDINATOR,SOUTH END OFFICE COORDINATOR  ,2
SOUTHEAST AREA DIRECTOR,SOUTHEAST AREA DIRECTOR  ,2
SOUTHEASTERN OUTREACH DIRECTOR,SOUTHEASTERN OUTREACH DIRECTOR  ,2
SPEC ASST TO THE RANKING MEM,SPECIALIST ASSISTANT TO THE RANKING MEMBER  ,2
SPECIAL ADVISOR,SPECIAL ADVISOR  ,2
SPECIAL ASSISTANT (A),SPECIAL ASSISTANT   ,2
SPECIAL ASSISTANT TO STAFF DIR,SPECIAL ASSISTANT TO STAFF DIRECTOR  ,2
SPECIAL ASSISTANT TO THE SPEAK,SPECIAL ASSISTANT TO THE SPEAK  ,2
SPECIAL ASSISTANT AND GRANT COORDI,SPECIAL ASSISTANT/GRANT COORDINATOR  ,2
SPECIAL ASST FOR PUBLIC AFFAIR,SPECIAL ASSISTANT FOR PUBLIC AFFAIR  ,2
SPECIAL ASST TO DIST DIR,SPECIAL ASSISTANT TO DISTRICT DIRECTOR  ,2
SPECIAL IMPEACHMENT COUNSEL,SPECIAL IMPEACHMENT COUNSEL  ,2
SPECIAL PROJECTS AND FIELD REP,SPECIAL PROJECTS/FIELD DIRECTOR REPRESENTATIVE  ,2
SPECIAL PROJECTS AND GRANTS,SPECIAL PROJECTS/GRANTS  ,2
SPEECH WRITER,SPEECH WRITER  ,2
SPEECHWRITER & COMMUNI LIAISON,SPEECHWRITER AND COMMUNITY LIAISON  ,2
SPEECHWRITER & COMMUNICATIONS,SPEECHWRITER AND COMMUNICATIONS  ,2
SR ADV FOR SCIENCE & TECH,SENIOR ADVISOR FOR SCIENCE AND TECHNICAL  ,2
SR ADV FOR STRATEGIC PLANNING,SENIOR ADVISOR FOR STRATEGIC PLANNING  ,2
SR ADVISOR & DIRECTOR OF COMM.,SENIOR ADVISOR AND DIRECTOR OF COMMUNICATIONS  ,2
SR ADVISOR FOR POLICY AND DEVELOP,SENIOR ADVISOR FOR POLICY/DEVELOPMENT  ,2
SR ADVISOR AND FLOOR ASSIST (STAT),SENIOR ADVISOR/FLOOR ASSISTANT (STAT)  ,2
SR ADVSR PUBLIC & MEDIA AFFAIR,SENIOR ADVSENIOR PUBLIC AND MEDIA AFFAIR  ,2
SR AIDE FOR MILIT & VET ISSUES,SENIOR AIDE FOR MILITARY AND VETERAN ISSUES  ,2
SR APPLICATION SECURITY ANALYS,SENIOR APPLICATION SECURITY ANALYST  ,2
SR APPROPRIATIONS ASSISTANT,SENIOR APPROPRIATIONS ASSISTANT  ,2
SR BUSINESS PROC APPL SPEC II,SENIOR BUSINESS PROC APPL SPECIALIST II  ,2
SR CAMERA OPERATOR (A),SENIOR CAMERA OPERATOR   ,2
SR CAMERA OPERATOR (A) (OVERTIME),SENIOR CAMERA OPERATOR    ,2
SR COMM SECURITY ANALYST,SENIOR COMMUNICATION SECURITY ANALYST  ,2
SR COMMUNICATION SPECIALIST,SENIOR COMMUNICATION SPECIALIST  ,2
SR CONST REP AND DPTY PRESS SECTY,SENIOR CONSTITUENT REPRESENTATIVE/DEPUTY PRESS SECRETARY  ,2
SR CONSTITUENT SERVICES REP,SENIOR CONSTITUENT SERVICES REPRESENTATIVE  ,2
"SR COUNSEL,OVERSIGHT & INVESTI","SENIOR COUNSEL,OVERSIGHT AND INVESTIGATION  ",2
SR CSWRKR AND FIELD REP AND ASC,SENIOR CASEWORKER/FIELD DIRECTOR REPRESENTATIVE/ASC  ,2
SR CUSTOMER SOLUT. CONSULTANT,SENIOR CUSTOMER SOLUTIONS CONSULTANT  ,2
SR CUSTOMER SOLUTIONS REP. (OVERTIME),SENIOR CUSTOMER SOLUTIONS REPRESENTATIVE   ,2
SR DISABILITY POLICY ADVISOR,SENIOR DISABILITY POLICY ADVISOR  ,2
SR DISTRICT REPRESENTATIVE,SENIOR DISTRICT REPRESENTATIVE  ,2
SR ECONOMIC DEVELOPMENT OFFICE,SENIOR ECONOMIC DEVELOPMENT OFFICE  ,2
SR EDUCATION POLICY ADV,SENIOR EDUCATION POLICY ADVISOR  ,2
SR EDUCATION POLICY ADV AND INVEST,SENIOR EDUCATION POLICY ADVISOR/INVESTIGATOR  ,2
SR FIELD REP AND LABOR RELATIONS,SENIOR FIELD DIRECTOR REPRESENTATIVE/LABOR RELATIONS  ,2
SR FINANCIAL COUNSELOR,SENIOR FINANCIAL COUNSELOR  ,2
SR FINANCIAL DISCLOSURE MNGR.,SENIOR FINANCIAL DISCLOSURE MANAGER  ,2
SR HUMAN RESOURCES GENERALIST,SENIOR HUMAN RESOURCES GENERALIST  ,2
SR INFO SYS SEC ANALYST,SENIOR INFORMATION SYSTEMS SECRETARY ANALYST  ,2
SR INTERNET SYS ENGINEER,SENIOR INTERNET SYSTEMS ENGINEER  ,2
SR INTERNET SYSTEMS ENG,SENIOR INTERNET SYSTEMS ENGINEER  ,2
SR INVESTIGATOR & POLICY ADV.,SENIOR INVESTIGATOR AND POLICY ADVISOR  ,2
SR LABOR POL ADV AND HLTH SAFETY,SENIOR LABOR POLICY ADVISOR/HEALTH SAFETY  ,2
SR LABOR POLICY ADVISOR,SENIOR LABOR POLICY ADVISOR  ,2
SR LEGIS ASST AND HOMELAND SEC ADV,SENIOR LEGISLATIVE ASSISTANT/HOMELAND SECRETARY ADVISOR  ,2
SR LEGIS CORR & LEGIS AIDE,SENIOR LEGISLATIVE CORRESPONDENCE AND LEGISLATIVE AIDE  ,2
SR LEGISLATIVE ASST (OVERTIME),SENIOR LEGISLATIVE ASSISTANT   ,2
SR LEGISLATIVE CORRESPONDENT (OVERTIME),SENIOR LEGISLATIVE CORRESPONDENT   ,2
SR LEGISLATIVE DATA SPECIALIST (OVERTIME),SENIOR LEGISLATIVE DATA SPECIALIST   ,2
SR MODULAR FURNITURE SPEC. (OVERTIME),SENIOR MODULAR FURNITURE SPECIALIST   ,2
SR POLICY ADVISOR & COMM DIR,SENIOR POLICY ADVISOR AND COMMUNICATION DIRECTOR  ,2
SR POLICY ADVISOR FOR DEFENSE,SENIOR POLICY ADVISOR FOR DEFENSE  ,2
SR POLICY ADVISOR FOR TRANSATL,SENIOR POLICY ADVISOR FOR TRANSATL  ,2
SR POLICY ADVISOR AND LEGIS COUN,SENIOR POLICY ADVISOR/LEGISLATIVE COUNSEL  ,2
SR POLICY ADVISOR AND SPEECHWRITER,SENIOR POLICY ADVISOR/SPEECHWRITER  ,2
SR PROF STAFF MEMBER AND C.F.O.,SENIOR PROFESSIONAL STAFF MEMBER/CHIEF FINANCIAL OFFICER  ,2
SR RECEIVING & WAREHOUSIN SPEC,SENIOR RECEIVING AND WAREHOUSIN SPECIALIST  ,2
SR RECVNG AND WAREHOUSING SPEC,SENIOR RECVNG AND WAREHOUSING SPECIALIST  ,2
SR REGIONAL REPRESENTATIVE,SENIOR REGIONAL REPRESENTATIVE  ,2
SR STAFF ASSISTANT,SENIOR STAFF ASSISTANT  ,2
SR STAFF ASST & PRESS ASST,SENIOR STAFF ASSISTANT AND PRESS ASSISTANT  ,2
SR STAFF ASST & PRESS ASST (OVERTIME),SENIOR STAFF ASSISTANT AND PRESS ASSISTANT   ,2
SR SYS ENGINEER AND TEAM LEAD,SENIOR SYSTEMS ENGINEER/TEAM LEAD  ,2
SR TECHNICAL TRAINER,SENIOR TECHNICAL TRAINER  ,2
SR TECHNOLOGY ADMINISTRATOR,SENIOR TECHNOLOGY ADMINISTRATOR  ,2
SR TELECOMMUNICATIONS ADMIN (A,SENIOR TELECOMMUNICATIONS ADMINISTRATOR,2
SR WORKFLOW COORDINATOR,SENIOR WORKFLOW COORDINATOR  ,2
SR. CONSTITUENT ADVOCATE,SENIOR  CONSTITUENT ADVOCATE  ,2
SR. INFOR. TECHNOLOGY ENGINEER,SENIOR  INFORMATION TECHNOLOGY ENGINEER  ,2
SR. REPUB. PROF. STAFF MEMBER,SENIOR  REPUBLICAN PROFESSIONAL STAFF MEMBER  ,2
SR. SOFTWARE SPECIALIST,SENIOR  SOFTWARE SPECIALIST  ,2
SR. STAFF ASSOC AND HEARING COORD.,SENIOR  STAFF ASSOC/HEARING COORDINATOR  ,2
STAFF AIDE,STAFF AIDE  ,2
STAFF ASSIST AND TELEPHONE,STAFF ASSISTANT/TELEPHONE  ,2
STAFF ASSIST AND TELEPHONE (OVERTIME),STAFF ASSISTANT/TELEPHONE   ,2
STAFF ASSISTANT - CASEWORKER (OVERTIME),STAFF ASSISTANT - CASEWORKER   ,2
STAFF ASSISTANT - ELECTIONS,STAFF ASSISTANT - ELECTIONS  ,2
STAFF ASSISTANT - RECEPTIONIST,STAFF ASSISTANT - RECEPTIONIST  ,2
STAFF ASSISTANT DISTRICT OFC,STAFF ASSISTANT DISTRICT OFFICE  ,2
STAFF ASSISTANT LEGISLATIVE AI,STAFF ASSISTANT LEGISLATIVE AIDE  ,2
STAFF ASSISTANT SOUTH,STAFF ASSISTANT SOUTH  ,2
STAFF ASSISTANT AND COAST GUARD,STAFF ASSISTANT/COAST GUARD  ,2
STAFF ASSISTANT AND FULL COMMITTEE (OTHER COMPENSATION),STAFF ASSISTANT/FULL COMMITTEE   ,2
STAFF ASSISTANT AND OUTREACH,STAFF ASSISTANT/OUTREACH  ,2
STAFF ASSISTANT AND SYSTEMS ADMINI (OVERTIME),STAFF ASSISTANT/SYSTEMS ADMINISTRATOR   ,2
STAFF ASSISTANT-SUB ON OV & IN,STAFF ASSISTANT-SUBCOMMITTEE ON OVERSIGHT AND INVESTIGATION ,2
STAFF ASSISTANT-WASH DC OFFICE,STAFF ASSISTANT-WASHINGTON DC OFFICE  ,2
STAFF ASSISTANT-WATER RESOURCE,STAFF ASSISTANT-WATER RESOURCE  ,2
STAFF ASSOC AND ASST PRESS OFFICER,STAFF ASSOC/ASSISTANT PRESS OFFICER  ,2
STAFF ASSOCIATE (C),STAFF ASSOCIATE   ,2
STAFF ASSOCIATE (OVERTIME),STAFF ASSOCIATE   ,2
STAFF ASST- HWY & TRANSIT SUB,STAFF ASSISTANT- HIGHWAY AND TRANSIT SUBCOMMITTEE  ,2
"STAFF ASST, HOUSE SEC OFFICE","STAFF ASSISTANT, HOUSE SECRETARY OFFICE  ",2
STAFF ASST.-FULL COMMITTEE,STAFF ASSISTANT-FULL COMMITTEE  ,2
STAFF ASST AND CASEWORKER,STAFF ASSISTANT/CASEWORKER  ,2
STAFF ASST AND CORRESPONDENT (OVERTIME),STAFF ASSISTANT/LEGISLATIVE CORRESPONDENT   ,2
STAFF ASST AND FULL COMMITTEE,STAFF ASSISTANT/FULL COMMITTEE  ,2
STAFF ASST AND LEGIS CORRESPONDENT,STAFF ASSISTANT/LEGISLATIVE CORRESPONDENT  ,2
STAFF ASST AND MOBILE OFFICE COORD,STAFF ASSISTANT/MOBILE OFFICE COORDINATOR  ,2
STAFF ASST AND OFFICE MANAGER,STAFF ASSISTANT/OFFICE MANAGER  ,2
STAFF ASST-ECON DEV SUB,STAFF ASSISTANT-ECONOMIC DEVELOPMENT SUBCOMMITTEE  ,2
STAFF ASST-HIGHWYS&TRANSIT SUB,STAFF ASSISTANT-HIGHWYS AND TRANSIT SUBCOMMITTEE  ,2
STAFF ASST-MINORITY-FULL COMM,STAFF ASSISTANT-MINORITY-FULL COMMUNICATION  ,2
STAFF COUNSEL,STAFF COUNSEL  ,2
STAFF DIR & GEN COUNSEL (P),STAFF DIRECTOR AND GENERAL COUNSEL   ,2
STAFF DIR FOR THE VICE CHAIR,STAFF DIRECTOR FOR THE VICE CHAIR  ,2
STAFF DIR ON TECH & INNOV,STAFF DIRECTOR ON TECHNICAL AND INNOVATION  ,2
"STAFF DIR, COAST GUARD & MARIT","STAFF DIRECTOR, COAST GUARD AND MARITIME  ",2
"STAFF DIR, INSULAR AFF (MAJ)","STAFF DIRECTOR, INSULAR AFFAIRS (MAJORITY)  ",2
"STAFF DIR, SUBC OVERSGT & INV","STAFF DIRECTOR, SUBCOMMITTEE OVERSIGHT AND INVESTIGATIONS  ",2
STAFF DIR AND S.C. ON SPACE,STAFF DIRECTOR/SUBCOMMITTEE ON SPACE  ,2
STAFF DIRECTOR (OTHER COMPENSATION),STAFF DIRECTOR   ,2
STAFF DIRECTOR HEALTH SC,STAFF DIRECTOR HEALTH SUBCOMMITTEE  ,2
STAFF DIRECTOR AND SUBCOMM ON FW&C,STAFF DIRECTOR/SUBCOMMUNICATION ON FW AND C  ,2
STAFF DIRECTOR-ED AND PB AND EM SUB.,STAFF DIRECTOR-ED/PB/EM SUBCOMMITTEE  ,2
STAFF DIRECTOR-RESEARCH AND ED,STAFF DIRECTOR-RESEARCH/EDUCATION  ,2
STAFF DIRECTOR-TRADE SC,STAFF DIRECTOR-TRADE SUBCOMMITTEE  ,2
STAFF DIR-HIGHWAYS & TRANSIT,STAFF DIRECTOR-HIGHWAYS AND TRANSIT  ,2
STAFF DIR-WATER RESOURCES S.C.,STAFF DIRECTOR-WATER RESOURCES SUBCOMMITTEE  ,2
STAFF INVESTIGATOR,STAFF INVESTIGATOR  ,2
STAFF REPRESENTATIVE,STAFF REPRESENTATIVE  ,2
STAFF SPECIALIST,STAFF SPECIALIST  ,2
STAFF AND PRESS ASSISTANT,STAFF/PRESS ASSISTANT  ,2
STAFF AND PRESS ASST,STAFF/PRESS ASSISTANT  ,2
STATE SCHEDULER,STATE SCHEDULER  ,2
STATISTICAL ANALYST,STATISTICAL ANALYST  ,2
STRATEGIC COMMUNICATIONS,STRATEGIC COMMUNICATIONS  ,2
"SUB COUNS,COMM, TECH & INTERNE","SUBCOMMITTEE COUNSEL,COMM, TECHNICAL AND INTERNE  ",2
"SUB STAFF DIR AND COUNSEL,DAMA","SUBCOMMITTEE STAFF DIRECTOR/COUNSEL,DAMA  ",2
SUBCOM CLERK AND LEGIS ASSISTANT,SUBCOM CLERK/LEGISLATIVE ASSISTANT  ,2
SUBCOMMITTE STAFF DIRECTOR AND COU,SUBCOMMITTE STAFF DIRECTOR/COUNSEL ,2
SUBCOMMITTEE STAFF ASSISTANT,SUBCOMMITTEE STAFF ASSISTANT  ,2
SUBCOMMITTEE STAFF DIRECTOR I&,SUBCOMMITTEE STAFF DIRECTOR I AND   ,2
SUBCOMMITTEE STAFF DIR-HEALTH,SUBCOMMITTEE STAFF DIRECTOR-HEALTH  ,2
SUBURBAN COORDINATOR,SUBURBAN COORDINATOR  ,2
SUBURBAN DIRECTOR,SUBURBAN DIRECTOR  ,2
SUPERINTENDENT,SUPERINTENDENT  ,2
"SUPERVISOR, RETAIL INVENTORY","SUPERVISOR, RETAIL INVENTORY  ",2
"SUPERVISOR,CONSTITUENT SVCS","SUPERVISOR,CONSTITUENT SERVICES  ",2
"SUPERVISOR,LOGIS & DIST (A)","SUPERVISOR,LOGISTICS AND DISTRICT   ",2
"SUPERVISOR,LOGISTICS & DIST (A","SUPERVISOR,LOGISTICS AND DISTRICT (A  ",2
"SUPERVISOR-LOGISTICS, SUPP EQU","SUPERVISOR-LOGISTICS, SUPPORT EQU  ",2
SUPPLY ACCOUNT SPECIALIST,SUPPLY ACCOUNT SPECIALIST  ,2
SYS ADMIN AND WEBSITE MGR,SYS ADMINISTRATIVE AND WEBSITE MANAGER  ,2
SYS ADMIN AND MAIL MANAGER,SYS ADMIN/MAIL MANAGER  ,2
SYSTEM & FINANCIAL DIS ADMIN,SYSTEM AND FINANCIAL DIS ADMINISTRATIVE  ,2
SYSTEM ADMIN. AND LEGISLATIVE AIDE,SYSTEM ADMINISTRATOR/LEGISLATIVE AIDE  ,2
SYSTEM ADMINISTRATOR AND LEGISLATI,SYSTEM ADMINISTRATOR/LEGISLATI  ,2
SYSTEM SUPPORT ENGINEER,SYSTEM SUPPORT ENGINEER  ,2
SYSTEMS ADMIN AND CONST. SERV. REP,SYSTEMS ADMINISTRATOR/CONSTITUENT SERVICES REPRESENTATIVE  ,2
SYSTEMS ADMIN AND LEGIS ASST,SYSTEMS ADMINISTRATOR/LEGISLATIVE ASSISTANT  ,2
SYSTEMS ADMINISTRATION,SYSTEMS ADMINISTRATION  ,2
SYSTEMS IMPLEMENT. PROJ. MGR,SYSTEMS IMPLEMENTATION PROJECTS MANAGER  ,2
SYSTEMS AND LEGISLATIVE ASSISTANT,SYSTEMS ADMINISTRATOR/LEGISLATIVE ASSISTANT  ,2
TALLY CLERK (OVERTIME),TALLY CLERK   ,2
TAX ADVISOR,TAX ADVISOR  ,2
TAX COUN AND OVERSGHT SUBC STF DIR,TAX COUNSEL/OVERSGHT SUBCOMMITTEE STAFF DIRECTOR  ,2
TAX POLICY ADVISOR,TAX POLICY ADVISOR  ,2
TAX RESOURCE SPECIALIST,TAX RESOURCE SPECIALIST  ,2
TEACHER AIDE,TEACHER AIDE  ,2
"TEAM LDR, MBR & CMTE SVCS","TEAM LDR, MEMBER AND COMMITTEE SERVICES  ",2
TEAM LEADER,TEAM LEADER  ,2
TECH SUPPORT BRANCH MNGR,TECHNICAL SUPPORT BRANCH MANAGER  ,2
TECHNOLOGY & RESEARCH ASSISTAN,TECHNOLOGY AND RESEARCH ASSISTANT  ,2
TECHNOLOGY COUNSEL,TECHNOLOGY COUNSEL  ,2
TECHNOLOGY DIRECTOR,TECHNOLOGY DIRECTOR  ,2
TECHNOLOGY AND DEVEL DIR,TECHNOLOGY/DEVEL DIRECTOR  ,2
TELECOMMUNICATIONS BRANCH MNGR,TELECOMMUNICATIONS BRANCH MANAGER  ,2
TELEPHONE STAFF ASSISTANT,TELEPHONE STAFF ASSISTANT  ,2
TELEPHONE SYSTEM CONSULTANT,TELEPHONE SYSTEM CONSULTANT  ,2
TLHRC REP PROFES STAFF MEMBER,TLHRC REPRESENTATIVE PROFES STAFF MEMBER  ,2
TRADE ADVISOR AND SR ECONOMIST,TRADE ADVISOR AND SENIOR ECONOMIST  ,2
TRAVEL AIDE-FIELD REP.,TRAVEL AIDE-FIELD DIRECTOR REPRESENTATIVE  ,2
TUCUMCARI FIELD REP,TUCUMCARI FIELD DIRECTOR REPRESENTATIVE  ,2
VETERANS AFFAIRS CASEWORKER,VETERANS AFFAIRS CASEWORKER  ,2
VOICE & VIDEO BRANCH MGR (A),VOICE AND VIDEO BRANCH MANAGER   ,2
WASHINGTON SCHEDULER,WASHINGTON SCHEDULER  ,2
WAYS & MEANS COUNSEL,WAYS AND MEANS COUNSEL  ,2
WEB CONTENT DEVELOPER (OVERTIME),WEB CONTENT DEVELOPER   ,2
WEB MGR AND DEPUTY PRESS SECRETARY,WEB MANAGER/DEPUTY PRESS SECRETARY  ,2
WEB SYSTEMS BRANCH MANAGER,WEB SYSTEMS BRANCH MANAGER  ,2
WEBSITE ADMINISTRATOR,WEBSITE ADMINISTRATOR  ,2
WEST RIVER FIELD REP.,WEST RIVER FIELD DIRECTOR REPRESENTATIVE  ,2
WESTERN AREA DIRECTOR,WESTERN AREA DIRECTOR  ,2
WESTERN DISTRICT COORDINATOR,WESTERN DISTRICT COORDINATOR  ,2
WESTERN FIELD REP AND ADVOCATE,WESTERN FIELD DIRECTOR REPRESENTATIVE/ADVOCATE  ,2
WESTERN NEW YORK DIRECTOR,WESTERN NEW YORK DIRECTOR  ,2
WESTERN POLICY STAFF,WESTERN POLICY STAFF  ,2
WORKFORCE POLICY COUNSEL,WORKFORCE POLICY COUNSEL  ,2
ACCOUNT MGMT COUNSELOR,ACCOUNT MANAGEMENT COUNSELOR  ,3
ACTING CHIEF OF STAFF,ACTING CHIEF OF STAFF  ,3
ADA AIDE (OVERTIME),ADA AIDE   ,3
ADMIN & TECH SUPPORT SPEC,ADMINISTRATIVE AND TECHNICAL SUPPORT SPECIALIST  ,3
ADMIN. DIRECTOR AND SCHEDULER,ADMINORITY DIRECTOR/SCHEDULER  ,3
ARCHIVIST,ARCHIVIST  ,3
ASSISTANT BILL CLERK,ASSISTANT BILL CLERK  ,3
ASSISTANT ID SERVICES,ASSISTANT ID SERVICES  ,3
ASSISTANT JOURNAL CLERK,ASSISTANT JOURNAL CLERK  ,3
ASSISTANT TALLY CLERK (ACTING),ASSISTANT TALLY CLERK  ,3
ASSISTANT TALLY CLERK (OVERTIME),ASSISTANT TALLY CLERK   ,3
ASSISTANT TO THE CHAPLAIN,ASSISTANT TO THE CHAPLAIN  ,3
ASSISTANT TO THE SGT AT ARMS,ASSISTANT TO THE SERGEANT AT ARMS  ,3
ASSOCIATE STAFF-MATSUI,ASSOCIATE STAFF-MATSUI  ,3
ASSOCIATE-ARCURI,ASSOCIATE-ARCURI  ,3
ASST DIR ADMINISTRATION,ASSISTANT DIRECTOR ADMINISTRATION  ,3
ASST DIR MGMT ADVISORY SVCS,ASSISTANT DIRECTOR MANAGEMENT ADVISORY SERVICES  ,3
ASST FOOD MGR (MAJ),ASSISTANT FOOD MANAGER (MAJORITY)  ,3
ASST FOOD MGR (MIN),ASSISTANT FOOD MANAGER (MINORITY)  ,3
"ASST FOR TECH SUPP, ID SVCS","ASSISTANT FOR TECHNICAL SUPP, ID SERVICES  ",3
ASST REQUISITIONS & PRINT CLK,ASSISTANT REQUISITIONS AND PRINT CLERK  ,3
ASST SAA FOR ADMIN,ASSISTANT SAA FOR ADMINISTRATION  ,3
ASST SHIFT SUPERVISOR,ASSISTANT SHIFT SUPERVISOR  ,3
ASST TO CONG. MORAN,ASSISTANT TO CONGRESSMAN MORAN  ,3
ASST TO CONG. VISCLOSKY,ASSISTANT TO CONGRESSMAN VISCLOSKY  ,3
"ASST, SPEC EVENTS AND PROTOCOL","ASSISTANT, SPECIALIST EVENTS/PROTOCOL  ",3
BILL CLERK,BILL CLERK  ,3
BUDGET & PROJECT ADMINISTRATOR,BUDGET AND PROJECT ADMINISTRATOR  ,3
CASEWORKER AND DISTRICT REP,CASEWORKER/DISTRICT REPRESENTATIVE  ,3
CATALOGER I,CATALOGER I  ,3
CATALOGER II,CATALOGER II  ,3
CHIEF CLERK (DEBATE),CHIEF CLERK (DEBATE)  ,3
CHIEF COUNSEL FOR ENVIRONMENT,CHIEF COUNSEL FOR ENVIRONMENT  ,3
CHIEF DISTRICT REPRESENTATIVE,CHIEF DISTRICT REPRESENTATIVE  ,3
CHIEF LEGISLATIVE CLERK,CHIEF LEGISLATIVE CLERK  ,3
CHIEF OF STAFF (STATUTORY),CHIEF OF STAFF (STATUTORY)  ,3
CHIEF PAGE SUPERVISOR (MAJ) (OVERTIME),CHIEF PAGE SUPERVISOR (MAJORITY)   ,3
CHIEF PAGE SUPERVISOR (MIN) (OVERTIME),CHIEF PAGE SUPERVISOR (MINORITY)   ,3
CLERK AND LEGISLATIVE ADVISOR,CLERK AND LEGISLATIVE ADVISOR  ,3
CLOAKROOM FOOD MNGR (MAJ),CLOAKROOM FOOD MANAGER (MAJORITY)  ,3
CLOAKROOM FOOD MNGR (MIN),CLOAKROOM FOOD MANAGER (MINORITY)  ,3
COMMUNITY AFFAIRS LIAISON,COMMUNITY AFFAIRS LIAISON  ,3
COMMUNITY SVS DIR AND MIAMI-DADE,COMMUNITY SERVICES DIRECTOR/MIAMI-DADE  ,3
CONGRESSIONAL AIDE (OTHER COMPENSATION),CONGRESSIONAL AIDE   ,3
CONGRESSIONAL FELLOW,CONGRESSIONAL FELLOW  ,3
CONGRESSWOMEN’S SUITE COORDINA,CONGRESSWOMEN'S SUITE COORDINATOR  ,3
CONSTITUENT CASEWKR AND FIELD REP,CONSTITUENT CASEWORKER/FIELD DIRECTOR REPRESENTATIVE  ,3
COUNSEL TO SGT AT ARMS,COUNSEL TO SERGEANT AT ARMS  ,3
CUSTOMER SERVICE REP,CUSTOMER SERVICE REPRESENTATIVE  ,3
CUSTOMER SOLUTIONS REP. (OVERTIME),CUSTOMER SOLUTIONS REPRESENTATIVE   ,3
DAILY DIGEST CLERK,DAILY DIGEST CLERK  ,3
"DEPUTY CAO, CUSTOMER SOLUTIONS","DEPUTY CAO, CUSTOMER SOLUTIONS  ",3
DEPUTY CHIEF OF STAFF (OTHER COMPENSATION),DEPUTY CHIEF OF STAFF   ,3
DEPUTY CHIEF REPORTER,DEPUTY CHIEF REPORTER  ,3
DEPUTY COMMUN DIR AND L A,DEPUTY COMMUNICATIONS DIRECTOR/L A  ,3
DEPUTY LEGISLATIVE COUNSEL,DEPUTY LEGISLATIVE COUNSEL  ,3
DIR SPEC EVENTS AND PROTOCOL,DIRECTOR SPECIALIST EVENTS/PROTOCOL  ,3
"DIR, HOUSE SECURITY OFFICE","DIRECTOR, HOUSE SECURITY OFFICE  ",3
DIR. APPLICATION DEVELOPMENT,DIRECTOR APPLICATION DEVELOPMENT  ,3
"DIR., SYSTEMS ANALYSIS & Q AND A","DIRECTOR, SYSTEMS ANALYSIS AND Q/A  ",3
DIRECTOR COMM & COMMUNITY RELA,DIRECTOR COMMUNICATION AND COMMUNITY RELATIONS ,3
DIRECTOR OF CHAMBER SECURITY,DIRECTOR OF CHAMBER SECURITY  ,3
DIRECTOR OF CONSTITUENT SVCS,DIRECTOR OF CONSTITUENT SERVICES  ,3
"DIRECTOR, WORKFLOW MANAGMENT","DIRECTOR, WORKFLOW MANAGMENT  ",3
DISTRICT REP. AND GRANTS COORD.,DISTRICT REPRESENTATIVE/GRANTS COORDINATOR  ,3
DO SYSTEMS MANAGER AND OFC MGR,DISTRICT OFFICE SYSTEMS MANAGER/OFFICE MANAGER  ,3
DOCUMENT CLERK,DOCUMENT CLERK  ,3
DOCUMENT PRODUCT CLERK,DOCUMENT PRODUCT CLERK  ,3
DOCUMENT PRODUCTION CLERK (A),DOCUMENT PRODUCTION CLERK   ,3
DOCUMENT PRODUCTION CLERK (A) (OVERTIME),DOCUMENT PRODUCTION CLERK    ,3
ECONOMIC POLICY ADVISOR,ECONOMIC POLICY ADVISOR  ,3
ECONOMIC RECOVERY COORDINATOR,ECONOMIC RECOVERY COORDINATOR  ,3
EDITOR (OVERTIME),EDITOR   ,3
